<<<<<<< HEAD
06.06.2023 12:16:07: |139648465235392|I| 16 firmware images on SD card:
06.06.2023 10:16:12: |139800444886464|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
06.06.2023 10:16:12: |139800444886464|I|  - QUAD_ELE_CROC_v4-5.bit
06.06.2023 10:16:12: |139800444886464|I|  - SCC_ELE_CROC_v4-6.bit
06.06.2023 10:16:12: |139800444886464|I|  - QUAD_ELE_CROC_v4-6.bit
06.06.2023 10:16:12: |139800444886464|I|  - SCC_ELE_RD53A_v4-6.bit
06.06.2023 10:16:12: |139800444886464|I|  - QUAD_ELE_RD53A_v4-6.bit
06.06.2023 10:16:12: |139800444886464|I|  - IT4_02__RD53A_x1G28.bit
06.06.2023 10:16:12: |139800444886464|I|  - IT-L12K4SCC-RD53A.bit
06.06.2023 10:16:12: |139800444886464|I|  - IT-RD53A-QUAD-v4_02.bit
06.06.2023 10:16:12: |139800444886464|I|  - IT_L12K4SCC_ELE_RD53.bit
06.06.2023 10:16:12: |139800444886464|I|  - IT_L12K4SCC_ELE_CROC.bit
06.06.2023 10:16:12: |139800444886464|I|  - IT_L12-KSU-3QUAD_ELE_RD53A.bit
06.06.2023 10:16:12: |139800444886464|I|  - SCC_ELE_RD53A_v4-5.bit
06.06.2023 10:16:12: |139800444886464|I|  - QUAD_ELE_RD53A_v4-5.bit
06.06.2023 10:16:12: |140276654927296|I| [1m[34mLoading SCC_ELE_RD53A_v4-6.bit into the FPGA...[0m
06.06.2023 10:16:17: |140276654927296|I| Firmware image: SCC_ELE_RD53A_v4-6.bit loaded on FPGA
06.06.2023 10:16:17: |140276654927296|I| [1m[34m>>> Done <<<[0m
06.06.2023 10:20:13: |139645006806464|I| 16 firmware images on SD card:
06.06.2023 10:20:13: |139645006806464|I|  - GoldenImage.bin
06.06.2023 10:20:13: |139645006806464|I|  - QUAD_ELE_RD53A_v4-5_re.bit
06.06.2023 10:20:13: |139645006806464|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
06.06.2023 10:20:13: |139645006806464|I|  - QUAD_ELE_CROC_v4-5.bit
06.06.2023 10:20:13: |139645006806464|I|  - SCC_ELE_CROC_v4-6.bit
06.06.2023 10:20:13: |139645006806464|I|  - QUAD_ELE_CROC_v4-6.bit
06.06.2023 10:20:13: |139645006806464|I|  - SCC_ELE_RD53A_v4-6.bit
06.06.2023 10:20:13: |139645006806464|I|  - QUAD_ELE_RD53A_v4-6.bit
06.06.2023 10:20:13: |139645006806464|I|  - IT4_02__RD53A_x1G28.bit
06.06.2023 10:20:13: |139645006806464|I|  - IT-L12K4SCC-RD53A.bit
06.06.2023 10:20:13: |139645006806464|I|  - IT-RD53A-QUAD-v4_02.bit
06.06.2023 10:20:13: |139645006806464|I|  - IT_L12K4SCC_ELE_RD53.bit
06.06.2023 10:20:13: |139645006806464|I|  - IT_L12K4SCC_ELE_CROC.bit
06.06.2023 10:20:13: |139645006806464|I|  - IT_L12-KSU-3QUAD_ELE_RD53A.bit
06.06.2023 10:20:13: |139645006806464|I|  - SCC_ELE_RD53A_v4-5.bit
06.06.2023 10:20:13: |139645006806464|I|  - QUAD_ELE_RD53A_v4-5.bit
06.06.2023 10:20:13: |140430072569280|I| [1m[34mLoading SCC_ELE_RD53A_v4-6.bit into the FPGA...[0m
06.06.2023 10:20:18: |140430072569280|I| Firmware image: SCC_ELE_RD53A_v4-6.bit loaded on FPGA
06.06.2023 10:20:18: |140430072569280|I| [1m[34m>>> Done <<<[0m
06.06.2023 10:22:35: |139910803131840|I| 16 firmware images on SD card:
06.06.2023 10:22:35: |139910803131840|I|  - GoldenImage.bin
06.06.2023 10:22:35: |139910803131840|I|  - QUAD_ELE_RD53A_v4-5_re.bit
06.06.2023 10:22:35: |139910803131840|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
06.06.2023 10:22:35: |139910803131840|I|  - QUAD_ELE_CROC_v4-5.bit
06.06.2023 10:22:35: |139910803131840|I|  - SCC_ELE_CROC_v4-6.bit
06.06.2023 10:22:35: |139910803131840|I|  - QUAD_ELE_CROC_v4-6.bit
06.06.2023 10:22:35: |139910803131840|I|  - SCC_ELE_RD53A_v4-6.bit
06.06.2023 10:22:35: |139910803131840|I|  - QUAD_ELE_RD53A_v4-6.bit
06.06.2023 10:22:35: |139910803131840|I|  - IT4_02__RD53A_x1G28.bit
06.06.2023 10:22:35: |139910803131840|I|  - IT-L12K4SCC-RD53A.bit
06.06.2023 10:22:35: |139910803131840|I|  - IT-RD53A-QUAD-v4_02.bit
06.06.2023 10:22:35: |139910803131840|I|  - IT_L12K4SCC_ELE_RD53.bit
06.06.2023 10:22:35: |139910803131840|I|  - IT_L12K4SCC_ELE_CROC.bit
06.06.2023 10:22:35: |139910803131840|I|  - IT_L12-KSU-3QUAD_ELE_RD53A.bit
06.06.2023 10:22:35: |139910803131840|I|  - SCC_ELE_RD53A_v4-5.bit
06.06.2023 10:22:35: |139910803131840|I|  - QUAD_ELE_RD53A_v4-5.bit
06.06.2023 10:22:35: |140552912141760|I| [1m[34mLoading SCC_ELE_RD53A_v4-6.bit into the FPGA...[0m
06.06.2023 10:22:40: |140552912141760|I| Firmware image: SCC_ELE_RD53A_v4-6.bit loaded on FPGA
06.06.2023 10:22:40: |140552912141760|I| [1m[34m>>> Done <<<[0m
06.06.2023 10:46:11: |140011870432704|I| 16 firmware images on SD card:
06.06.2023 10:46:11: |140011870432704|I|  - GoldenImage.bin
06.06.2023 10:46:11: |140011870432704|I|  - QUAD_ELE_RD53A_v4-5_re.bit
06.06.2023 10:46:11: |140011870432704|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
06.06.2023 10:46:11: |140011870432704|I|  - QUAD_ELE_CROC_v4-5.bit
06.06.2023 10:46:11: |140011870432704|I|  - SCC_ELE_CROC_v4-6.bit
06.06.2023 10:46:11: |140011870432704|I|  - QUAD_ELE_CROC_v4-6.bit
06.06.2023 10:46:11: |140011870432704|I|  - SCC_ELE_RD53A_v4-6.bit
06.06.2023 10:46:11: |140011870432704|I|  - QUAD_ELE_RD53A_v4-6.bit
06.06.2023 10:46:11: |140011870432704|I|  - IT4_02__RD53A_x1G28.bit
06.06.2023 10:46:11: |140011870432704|I|  - IT-L12K4SCC-RD53A.bit
06.06.2023 10:46:11: |140011870432704|I|  - IT-RD53A-QUAD-v4_02.bit
06.06.2023 10:46:11: |140011870432704|I|  - IT_L12K4SCC_ELE_RD53.bit
06.06.2023 10:46:11: |140011870432704|I|  - IT_L12K4SCC_ELE_CROC.bit
06.06.2023 10:46:11: |140011870432704|I|  - IT_L12-KSU-3QUAD_ELE_RD53A.bit
06.06.2023 10:46:11: |140011870432704|I|  - SCC_ELE_RD53A_v4-5.bit
06.06.2023 10:46:11: |140011870432704|I|  - QUAD_ELE_RD53A_v4-5.bit
06.06.2023 10:46:11: |139972408901056|I| [1m[34mLoading SCC_ELE_RD53A_v4-6.bit into the FPGA...[0m
06.06.2023 10:46:16: |139972408901056|I| Firmware image: SCC_ELE_RD53A_v4-6.bit loaded on FPGA
06.06.2023 10:46:16: |139972408901056|I| [1m[34m>>> Done <<<[0m
06.06.2023 10:48:47: |140255530057152|I| 16 firmware images on SD card:
06.06.2023 10:48:47: |140255530057152|I|  - GoldenImage.bin
06.06.2023 10:48:47: |140255530057152|I|  - QUAD_ELE_RD53A_v4-5_re.bit
06.06.2023 10:48:47: |140255530057152|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
06.06.2023 10:48:47: |140255530057152|I|  - QUAD_ELE_CROC_v4-5.bit
06.06.2023 10:48:47: |140255530057152|I|  - SCC_ELE_CROC_v4-6.bit
06.06.2023 10:48:47: |140255530057152|I|  - QUAD_ELE_CROC_v4-6.bit
06.06.2023 10:48:47: |140255530057152|I|  - SCC_ELE_RD53A_v4-6.bit
06.06.2023 10:48:47: |140255530057152|I|  - QUAD_ELE_RD53A_v4-6.bit
06.06.2023 10:48:47: |140255530057152|I|  - IT4_02__RD53A_x1G28.bit
06.06.2023 10:48:47: |140255530057152|I|  - IT-L12K4SCC-RD53A.bit
06.06.2023 10:48:47: |140255530057152|I|  - IT-RD53A-QUAD-v4_02.bit
06.06.2023 10:48:47: |140255530057152|I|  - IT_L12K4SCC_ELE_RD53.bit
06.06.2023 10:48:47: |140255530057152|I|  - IT_L12K4SCC_ELE_CROC.bit
06.06.2023 10:48:47: |140255530057152|I|  - IT_L12-KSU-3QUAD_ELE_RD53A.bit
06.06.2023 10:48:47: |140255530057152|I|  - SCC_ELE_RD53A_v4-5.bit
06.06.2023 10:48:47: |140255530057152|I|  - QUAD_ELE_RD53A_v4-5.bit
06.06.2023 10:48:47: |140168021204416|I| [1m[34mLoading SCC_ELE_RD53A_v4-6.bit into the FPGA...[0m
06.06.2023 10:48:52: |140168021204416|I| Firmware image: SCC_ELE_RD53A_v4-6.bit loaded on FPGA
06.06.2023 10:48:52: |140168021204416|I| [1m[34m>>> Done <<<[0m
>>>>>>> 57c8eefa123b1a739bdb69acf8d525e34e4f724b
06.06.2023 11:29:30: |139927981587904|I| 16 firmware images on SD card:
06.06.2023 11:29:30: |139927981587904|I|  - GoldenImage.bin
06.06.2023 11:29:30: |139927981587904|I|  - QUAD_ELE_RD53A_v4-5_re.bit
06.06.2023 11:29:30: |139927981587904|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
06.06.2023 11:29:30: |139927981587904|I|  - QUAD_ELE_CROC_v4-5.bit
06.06.2023 11:29:30: |139927981587904|I|  - SCC_ELE_CROC_v4-6.bit
06.06.2023 11:29:30: |139927981587904|I|  - QUAD_ELE_CROC_v4-6.bit
06.06.2023 11:29:30: |139927981587904|I|  - SCC_ELE_RD53A_v4-6.bit
06.06.2023 11:29:30: |139927981587904|I|  - QUAD_ELE_RD53A_v4-6.bit
06.06.2023 11:29:30: |139927981587904|I|  - IT4_02__RD53A_x1G28.bit
06.06.2023 11:29:30: |139927981587904|I|  - IT-L12K4SCC-RD53A.bit
06.06.2023 11:29:30: |139927981587904|I|  - IT-RD53A-QUAD-v4_02.bit
06.06.2023 11:29:30: |139927981587904|I|  - IT_L12K4SCC_ELE_RD53.bit
06.06.2023 11:29:30: |139927981587904|I|  - IT_L12K4SCC_ELE_CROC.bit
06.06.2023 11:29:30: |139927981587904|I|  - IT_L12-KSU-3QUAD_ELE_RD53A.bit
06.06.2023 11:29:30: |139927981587904|I|  - SCC_ELE_RD53A_v4-5.bit
06.06.2023 11:29:30: |139927981587904|I|  - QUAD_ELE_RD53A_v4-5.bit
06.06.2023 11:29:30: |140502332460480|I| [1m[34mLoading SCC_ELE_RD53A_v4-6.bit into the FPGA...[0m
06.06.2023 11:29:36: |140502332460480|I| Firmware image: SCC_ELE_RD53A_v4-6.bit loaded on FPGA
06.06.2023 11:29:36: |140502332460480|I| [1m[34m>>> Done <<<[0m
06.06.2023 11:50:48: |139769094655424|I| 16 firmware images on SD card:
06.06.2023 11:50:48: |139769094655424|I|  - GoldenImage.bin
06.06.2023 11:50:48: |139769094655424|I|  - QUAD_ELE_RD53A_v4-5_re.bit
06.06.2023 11:50:48: |139769094655424|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
06.06.2023 11:50:48: |139769094655424|I|  - QUAD_ELE_CROC_v4-5.bit
06.06.2023 11:50:48: |139769094655424|I|  - SCC_ELE_CROC_v4-6.bit
06.06.2023 11:50:48: |139769094655424|I|  - QUAD_ELE_CROC_v4-6.bit
06.06.2023 11:50:48: |139769094655424|I|  - SCC_ELE_RD53A_v4-6.bit
06.06.2023 11:50:48: |139769094655424|I|  - QUAD_ELE_RD53A_v4-6.bit
06.06.2023 11:50:48: |139769094655424|I|  - IT4_02__RD53A_x1G28.bit
06.06.2023 11:50:48: |139769094655424|I|  - IT-L12K4SCC-RD53A.bit
06.06.2023 11:50:48: |139769094655424|I|  - IT-RD53A-QUAD-v4_02.bit
06.06.2023 11:50:48: |139769094655424|I|  - IT_L12K4SCC_ELE_RD53.bit
06.06.2023 11:50:48: |139769094655424|I|  - IT_L12K4SCC_ELE_CROC.bit
06.06.2023 11:50:48: |139769094655424|I|  - IT_L12-KSU-3QUAD_ELE_RD53A.bit
06.06.2023 11:50:48: |139769094655424|I|  - SCC_ELE_RD53A_v4-5.bit
06.06.2023 11:50:48: |139769094655424|I|  - QUAD_ELE_RD53A_v4-5.bit
06.06.2023 11:50:48: |140097911807424|I| [1m[34mLoading SCC_ELE_RD53A_v4-6.bit into the FPGA...[0m
06.06.2023 11:50:53: |140097911807424|I| Firmware image: SCC_ELE_RD53A_v4-6.bit loaded on FPGA
06.06.2023 11:50:53: |140097911807424|I| [1m[34m>>> Done <<<[0m
>>>>>>> 3c4112048be6968c9481f8b69cf7d4fd69bb7858
12.06.2023 12:11:47: |140318319660480|I| 16 firmware images on SD card:
12.06.2023 12:11:47: |140318319660480|I|  - GoldenImage.bin
12.06.2023 12:11:47: |140318319660480|I|  - QUAD_ELE_RD53A_v4-5_re.bit
12.06.2023 12:11:47: |140318319660480|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
12.06.2023 12:11:47: |140318319660480|I|  - QUAD_ELE_CROC_v4-5.bit
12.06.2023 12:11:47: |140318319660480|I|  - SCC_ELE_CROC_v4-6.bit
12.06.2023 12:11:47: |140318319660480|I|  - QUAD_ELE_CROC_v4-6.bit
12.06.2023 12:11:47: |140318319660480|I|  - SCC_ELE_RD53A_v4-6.bit
12.06.2023 12:11:47: |140318319660480|I|  - QUAD_ELE_RD53A_v4-6.bit
12.06.2023 12:11:47: |140318319660480|I|  - IT4_02__RD53A_x1G28.bit
12.06.2023 12:11:47: |140318319660480|I|  - IT-L12K4SCC-RD53A.bit
12.06.2023 12:11:47: |140318319660480|I|  - IT-RD53A-QUAD-v4_02.bit
12.06.2023 12:11:47: |140318319660480|I|  - IT_L12K4SCC_ELE_RD53.bit
12.06.2023 12:11:47: |140318319660480|I|  - IT_L12K4SCC_ELE_CROC.bit
12.06.2023 12:11:47: |140318319660480|I|  - IT_L12-KSU-3QUAD_ELE_RD53A.bit
12.06.2023 12:11:47: |140318319660480|I|  - SCC_ELE_RD53A_v4-5.bit
12.06.2023 12:11:47: |140318319660480|I|  - QUAD_ELE_RD53A_v4-5.bit
12.06.2023 12:11:47: |139727931121088|I| [1m[34mLoading QUAD_ELE_RD53A_v4-6.bit into the FPGA...[0m
12.06.2023 12:11:53: |139727931121088|I| Firmware image: QUAD_ELE_RD53A_v4-6.bit loaded on FPGA
12.06.2023 12:11:53: |139727931121088|I| [1m[34m>>> Done <<<[0m
12.06.2023 12:13:22: |140343679614400|I| 16 firmware images on SD card:
12.06.2023 12:13:22: |140343679614400|I|  - GoldenImage.bin
12.06.2023 12:13:22: |140343679614400|I|  - QUAD_ELE_RD53A_v4-5_re.bit
12.06.2023 12:13:22: |140343679614400|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
12.06.2023 12:13:22: |140343679614400|I|  - QUAD_ELE_CROC_v4-5.bit
12.06.2023 12:13:22: |140343679614400|I|  - SCC_ELE_CROC_v4-6.bit
12.06.2023 12:13:22: |140343679614400|I|  - QUAD_ELE_CROC_v4-6.bit
12.06.2023 12:13:22: |140343679614400|I|  - SCC_ELE_RD53A_v4-6.bit
12.06.2023 12:13:22: |140343679614400|I|  - QUAD_ELE_RD53A_v4-6.bit
12.06.2023 12:13:22: |140343679614400|I|  - IT4_02__RD53A_x1G28.bit
12.06.2023 12:13:22: |140343679614400|I|  - IT-L12K4SCC-RD53A.bit
12.06.2023 12:13:22: |140343679614400|I|  - IT-RD53A-QUAD-v4_02.bit
12.06.2023 12:13:22: |140343679614400|I|  - IT_L12K4SCC_ELE_RD53.bit
12.06.2023 12:13:22: |140343679614400|I|  - IT_L12K4SCC_ELE_CROC.bit
12.06.2023 12:13:22: |140343679614400|I|  - IT_L12-KSU-3QUAD_ELE_RD53A.bit
12.06.2023 12:13:22: |140343679614400|I|  - SCC_ELE_RD53A_v4-5.bit
12.06.2023 12:13:22: |140343679614400|I|  - QUAD_ELE_RD53A_v4-5.bit
12.06.2023 12:13:22: |140697858788800|I| [1m[34mLoading QUAD_ELE_RD53A_v4-6.bit into the FPGA...[0m
12.06.2023 12:13:27: |140697858788800|I| Firmware image: QUAD_ELE_RD53A_v4-6.bit loaded on FPGA
12.06.2023 12:13:27: |140697858788800|I| [1m[34m>>> Done <<<[0m
12.06.2023 12:15:01: |140513769229760|I| 16 firmware images on SD card:
12.06.2023 12:15:01: |140513769229760|I|  - GoldenImage.bin
12.06.2023 12:15:01: |140513769229760|I|  - QUAD_ELE_RD53A_v4-5_re.bit
12.06.2023 12:15:01: |140513769229760|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
12.06.2023 12:15:01: |140513769229760|I|  - QUAD_ELE_CROC_v4-5.bit
12.06.2023 12:15:01: |140513769229760|I|  - SCC_ELE_CROC_v4-6.bit
12.06.2023 12:15:01: |140513769229760|I|  - QUAD_ELE_CROC_v4-6.bit
12.06.2023 12:15:01: |140513769229760|I|  - SCC_ELE_RD53A_v4-6.bit
12.06.2023 12:15:01: |140513769229760|I|  - QUAD_ELE_RD53A_v4-6.bit
12.06.2023 12:15:01: |140513769229760|I|  - IT4_02__RD53A_x1G28.bit
12.06.2023 12:15:01: |140513769229760|I|  - IT-L12K4SCC-RD53A.bit
12.06.2023 12:15:01: |140513769229760|I|  - IT-RD53A-QUAD-v4_02.bit
12.06.2023 12:15:01: |140513769229760|I|  - IT_L12K4SCC_ELE_RD53.bit
12.06.2023 12:15:01: |140513769229760|I|  - IT_L12K4SCC_ELE_CROC.bit
12.06.2023 12:15:01: |140513769229760|I|  - IT_L12-KSU-3QUAD_ELE_RD53A.bit
12.06.2023 12:15:01: |140513769229760|I|  - SCC_ELE_RD53A_v4-5.bit
12.06.2023 12:15:01: |140513769229760|I|  - QUAD_ELE_RD53A_v4-5.bit
12.06.2023 12:15:01: |140683330784704|I| [1m[34mLoading QUAD_ELE_RD53A_v4-6.bit into the FPGA...[0m
12.06.2023 12:15:06: |140683330784704|I| Firmware image: QUAD_ELE_RD53A_v4-6.bit loaded on FPGA
12.06.2023 12:15:06: |140683330784704|I| [1m[34m>>> Done <<<[0m
12.06.2023 12:18:19: |139793751518656|I| 16 firmware images on SD card:
12.06.2023 12:18:19: |139793751518656|I|  - GoldenImage.bin
12.06.2023 12:18:19: |139793751518656|I|  - QUAD_ELE_RD53A_v4-5_re.bit
12.06.2023 12:18:19: |139793751518656|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
12.06.2023 12:18:19: |139793751518656|I|  - QUAD_ELE_CROC_v4-5.bit
12.06.2023 12:18:19: |139793751518656|I|  - SCC_ELE_CROC_v4-6.bit
12.06.2023 12:18:19: |139793751518656|I|  - QUAD_ELE_CROC_v4-6.bit
12.06.2023 12:18:19: |139793751518656|I|  - SCC_ELE_RD53A_v4-6.bit
12.06.2023 12:18:19: |139793751518656|I|  - QUAD_ELE_RD53A_v4-6.bit
12.06.2023 12:18:19: |139793751518656|I|  - IT4_02__RD53A_x1G28.bit
12.06.2023 12:18:19: |139793751518656|I|  - IT-L12K4SCC-RD53A.bit
12.06.2023 12:18:19: |139793751518656|I|  - IT-RD53A-QUAD-v4_02.bit
12.06.2023 12:18:19: |139793751518656|I|  - IT_L12K4SCC_ELE_RD53.bit
12.06.2023 12:18:19: |139793751518656|I|  - IT_L12K4SCC_ELE_CROC.bit
12.06.2023 12:18:19: |139793751518656|I|  - IT_L12-KSU-3QUAD_ELE_RD53A.bit
12.06.2023 12:18:19: |139793751518656|I|  - SCC_ELE_RD53A_v4-5.bit
12.06.2023 12:18:19: |139793751518656|I|  - QUAD_ELE_RD53A_v4-5.bit
12.06.2023 12:18:19: |140264133676480|I| [1m[34mLoading QUAD_ELE_RD53A_v4-6.bit into the FPGA...[0m
12.06.2023 12:18:24: |140264133676480|I| Firmware image: QUAD_ELE_RD53A_v4-6.bit loaded on FPGA
12.06.2023 12:18:24: |140264133676480|I| [1m[34m>>> Done <<<[0m
13.06.2023 10:45:05: |140519934533056|I| 16 firmware images on SD card:
13.06.2023 10:45:05: |140519934533056|I|  - GoldenImage.bin
13.06.2023 10:45:05: |140519934533056|I|  - QUAD_ELE_RD53A_v4-5_re.bit
13.06.2023 10:45:05: |140519934533056|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
13.06.2023 10:45:05: |140519934533056|I|  - QUAD_ELE_CROC_v4-5.bit
13.06.2023 10:45:05: |140519934533056|I|  - SCC_ELE_CROC_v4-6.bit
13.06.2023 10:45:05: |140519934533056|I|  - QUAD_ELE_CROC_v4-6.bit
13.06.2023 10:45:05: |140519934533056|I|  - SCC_ELE_RD53A_v4-6.bit
13.06.2023 10:45:05: |140519934533056|I|  - QUAD_ELE_RD53A_v4-6.bit
13.06.2023 10:45:05: |140519934533056|I|  - IT4_02__RD53A_x1G28.bit
13.06.2023 10:45:05: |140519934533056|I|  - IT-L12K4SCC-RD53A.bit
13.06.2023 10:45:05: |140519934533056|I|  - IT-RD53A-QUAD-v4_02.bit
13.06.2023 10:45:05: |140519934533056|I|  - IT_L12K4SCC_ELE_RD53.bit
13.06.2023 10:45:05: |140519934533056|I|  - IT_L12K4SCC_ELE_CROC.bit
13.06.2023 10:45:05: |140519934533056|I|  - IT_L12-KSU-3QUAD_ELE_RD53A.bit
13.06.2023 10:45:05: |140519934533056|I|  - SCC_ELE_RD53A_v4-5.bit
13.06.2023 10:45:05: |140519934533056|I|  - QUAD_ELE_RD53A_v4-5.bit
13.06.2023 10:45:05: |140654786059712|I| [1m[34mLoading QUAD_ELE_RD53A_v4-6.bit into the FPGA...[0m
13.06.2023 10:45:10: |140654786059712|I| Firmware image: QUAD_ELE_RD53A_v4-6.bit loaded on FPGA
13.06.2023 10:45:10: |140654786059712|I| [1m[34m>>> Done <<<[0m
13.06.2023 11:23:15: |140189183933888|I| 16 firmware images on SD card:
13.06.2023 11:23:15: |140189183933888|I|  - GoldenImage.bin
13.06.2023 11:23:15: |140189183933888|I|  - QUAD_ELE_RD53A_v4-5_re.bit
13.06.2023 11:23:15: |140189183933888|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
13.06.2023 11:23:15: |140189183933888|I|  - QUAD_ELE_CROC_v4-5.bit
13.06.2023 11:23:15: |140189183933888|I|  - SCC_ELE_CROC_v4-6.bit
13.06.2023 11:23:15: |140189183933888|I|  - QUAD_ELE_CROC_v4-6.bit
13.06.2023 11:23:15: |140189183933888|I|  - SCC_ELE_RD53A_v4-6.bit
13.06.2023 11:23:15: |140189183933888|I|  - QUAD_ELE_RD53A_v4-6.bit
13.06.2023 11:23:15: |140189183933888|I|  - IT4_02__RD53A_x1G28.bit
13.06.2023 11:23:15: |140189183933888|I|  - IT-L12K4SCC-RD53A.bit
13.06.2023 11:23:15: |140189183933888|I|  - IT-RD53A-QUAD-v4_02.bit
13.06.2023 11:23:15: |140189183933888|I|  - IT_L12K4SCC_ELE_RD53.bit
13.06.2023 11:23:15: |140189183933888|I|  - IT_L12K4SCC_ELE_CROC.bit
13.06.2023 11:23:15: |140189183933888|I|  - IT_L12-KSU-3QUAD_ELE_RD53A.bit
13.06.2023 11:23:15: |140189183933888|I|  - SCC_ELE_RD53A_v4-5.bit
13.06.2023 11:23:15: |140189183933888|I|  - QUAD_ELE_RD53A_v4-5.bit
13.06.2023 11:23:15: |139903860694464|I| [1m[34mLoading QUAD_ELE_CROC_v4-6.bit into the FPGA...[0m
13.06.2023 11:23:20: |139903860694464|I| Firmware image: QUAD_ELE_CROC_v4-6.bit loaded on FPGA
13.06.2023 11:23:20: |139903860694464|I| [1m[34m>>> Done <<<[0m
13.06.2023 11:25:13: |139946510712256|I| 16 firmware images on SD card:
13.06.2023 11:25:13: |139946510712256|I|  - GoldenImage.bin
13.06.2023 11:25:13: |139946510712256|I|  - QUAD_ELE_RD53A_v4-5_re.bit
13.06.2023 11:25:13: |139946510712256|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
13.06.2023 11:25:13: |139946510712256|I|  - QUAD_ELE_CROC_v4-5.bit
13.06.2023 11:25:13: |139946510712256|I|  - SCC_ELE_CROC_v4-6.bit
13.06.2023 11:25:13: |139946510712256|I|  - QUAD_ELE_CROC_v4-6.bit
13.06.2023 11:25:13: |139946510712256|I|  - SCC_ELE_RD53A_v4-6.bit
13.06.2023 11:25:13: |139946510712256|I|  - QUAD_ELE_RD53A_v4-6.bit
13.06.2023 11:25:13: |139946510712256|I|  - IT4_02__RD53A_x1G28.bit
13.06.2023 11:25:13: |139946510712256|I|  - IT-L12K4SCC-RD53A.bit
13.06.2023 11:25:13: |139946510712256|I|  - IT-RD53A-QUAD-v4_02.bit
13.06.2023 11:25:13: |139946510712256|I|  - IT_L12K4SCC_ELE_RD53.bit
13.06.2023 11:25:13: |139946510712256|I|  - IT_L12K4SCC_ELE_CROC.bit
13.06.2023 11:25:13: |139946510712256|I|  - IT_L12-KSU-3QUAD_ELE_RD53A.bit
13.06.2023 11:25:13: |139946510712256|I|  - SCC_ELE_RD53A_v4-5.bit
13.06.2023 11:25:13: |139946510712256|I|  - QUAD_ELE_RD53A_v4-5.bit
13.06.2023 11:25:13: |139842747485632|I| [1m[34mLoading QUAD_ELE_CROC_v4-6.bit into the FPGA...[0m
13.06.2023 11:25:18: |139842747485632|I| Firmware image: QUAD_ELE_CROC_v4-6.bit loaded on FPGA
13.06.2023 11:25:18: |139842747485632|I| [1m[34m>>> Done <<<[0m
13.06.2023 11:28:18: |140598049410496|I| 16 firmware images on SD card:
13.06.2023 11:28:18: |140598049410496|I|  - GoldenImage.bin
13.06.2023 11:28:18: |140598049410496|I|  - QUAD_ELE_RD53A_v4-5_re.bit
13.06.2023 11:28:18: |140598049410496|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
13.06.2023 11:28:18: |140598049410496|I|  - QUAD_ELE_CROC_v4-5.bit
13.06.2023 11:28:18: |140598049410496|I|  - SCC_ELE_CROC_v4-6.bit
13.06.2023 11:28:18: |140598049410496|I|  - QUAD_ELE_CROC_v4-6.bit
13.06.2023 11:28:18: |140598049410496|I|  - SCC_ELE_RD53A_v4-6.bit
13.06.2023 11:28:18: |140598049410496|I|  - QUAD_ELE_RD53A_v4-6.bit
13.06.2023 11:28:18: |140598049410496|I|  - IT4_02__RD53A_x1G28.bit
13.06.2023 11:28:18: |140598049410496|I|  - IT-L12K4SCC-RD53A.bit
13.06.2023 11:28:18: |140598049410496|I|  - IT-RD53A-QUAD-v4_02.bit
13.06.2023 11:28:18: |140598049410496|I|  - IT_L12K4SCC_ELE_RD53.bit
13.06.2023 11:28:18: |140598049410496|I|  - IT_L12K4SCC_ELE_CROC.bit
13.06.2023 11:28:18: |140598049410496|I|  - IT_L12-KSU-3QUAD_ELE_RD53A.bit
13.06.2023 11:28:18: |140598049410496|I|  - SCC_ELE_RD53A_v4-5.bit
13.06.2023 11:28:18: |140598049410496|I|  - QUAD_ELE_RD53A_v4-5.bit
13.06.2023 11:28:18: |139875637427648|I| [1m[34mLoading QUAD_ELE_CROC_v4-6.bit into the FPGA...[0m
13.06.2023 11:28:23: |139875637427648|I| Firmware image: QUAD_ELE_CROC_v4-6.bit loaded on FPGA
13.06.2023 11:28:23: |139875637427648|I| [1m[34m>>> Done <<<[0m
13.06.2023 11:40:15: |140689431674304|I| 16 firmware images on SD card:
13.06.2023 11:40:15: |140689431674304|I|  - GoldenImage.bin
13.06.2023 11:40:15: |140689431674304|I|  - QUAD_ELE_RD53A_v4-5_re.bit
13.06.2023 11:40:15: |140689431674304|I|  - SCC_L12-KSU-L8-KSU_1G28_v41.bit
